Result,Description,Lat,Lng,Image,Detail
子ども未来センターの開設に尽力,初当選以来、市役所跡地の利用問題を徹底して議会で取り上げ、「南口の活性化の核となる集客施設を」と訴えてきました。,35.6941761,139.4196733,p1,http://mf2933.sakura.ne.jp/resume.html
JR東地下道沿道 放置自転車の撤去を実施,JR東地下道沿道の放置自転車の撤去を実施しました。,35.697532,139.417088,no-image,
錦第二公園に２基の街路灯を設置,依然周辺が暗いとの声が住民の皆様からありました。人通りの多い南側歩道と西側の２箇所に街灯を設置し、明るさを確保しました。,35.697870,139.419654,p2,http://mf2933.sakura.ne.jp/resume.html
荒井内科横交差点にカーブミラーを増設,付近の店舗の方から、踏切が近くにあり交通量も多く、衝突の危険性が高いとの指摘がありました。カーブミラーを増設し視界を広げました。,35.696925,139.421703,p3,http://mf2933.sakura.ne.jp/resume.html
グランパークマンション東側に街灯設置,付近の通行人の方から暗いという要望がありました。,35.696450,139.421339,p4,http://mf2933.sakura.ne.jp/resume.html
錦中央通り・やすらぎ通り交差点の道路補修,沿道の住民の方から、歩道の老朽化により､振動がするとの相談がありましたが、道路補修により解消しました。,35.695809,139.417289,p5,http://mf2933.sakura.ne.jp/resume.html
錦町１丁目一方通行路にカーブミラー設置,地元自治会の見通しの悪いＴ字路にカーブミラーが設置されました。,35.695827,139.419853,p6,http://mf2933.sakura.ne.jp/resume.html
アミューたちかわ西側通学路に２基の街灯を設置,毎朝三小に通う子どもたちの為に旗振りをされている自治会の役員さんから夜になるととても暗いので街灯が欲しいとの要望がありました。,35.694315,139.420099,p7,http://mf2933.sakura.ne.jp/resume.html
錦町２丁目の道路の陥没を補修,錦町２丁目３番地の道路の陥没を補修しました。これまで陥没のため雨の日に水が溜まり歩行が困難というご近所からの相談がありました。,35.694794,139.417525,p8,http://mf2933.sakura.ne.jp/resume.html
錦中央通りの歩道に車乗り上げ防止のためのポールを設置,商店街の店舗の方から、車が歩道を店の前まで乗り上げてきて大変危険との不安の声がありました。,35.696010,139.416060,p9,http://mf2933.sakura.ne.jp/resume.html
錦学習館の舞台緞帳を新調,市民連の方々をはじめ、文化協会の方々から、緞帳が古く、痛みが激しい為取り替えて欲しいという切実なるご要望がありました。,35.690555,139.420282,p10,http://mf2933.sakura.ne.jp/resume.html
立川三小スクールゾーンを設置,立川三小南側市道にスクールゾーンを開設しました。,35.691727,139.419960,p11,http://mf2933.sakura.ne.jp/resume.html
錦町４丁目くるりんバス停前道路補修,錦町４丁目くるりんバス停前の道路補修を行ないました。,35.691287,139.422878,p12,http://mf2933.sakura.ne.jp/resume.html
錦第三公園トイレに照明を設置,錦第三公園のトイレには以前から照明がついておらず、盆踊り等での夜の行事で子どもがトイレに行けないという問題がありました。,35.691967,139.418737,p13,http://mf2933.sakura.ne.jp/resume.html
東京都職業訓練校跡地の仮設塀を透明なパネルに変更,付近の住民の方から交差点の死角が生まれ大変に危険との指摘がありました。透明なパネルに変更することで安全を確保しました。,35.688976,139.420845,p14,http://mf2933.sakura.ne.jp/resume.html
錦六公園に新しいフェンスを設置,錦六公園の金網柵の交換工事が実現しました。町会の方から柵が破れており、子どもが出入りして危険との声を聞いておりました。,35.689388,139.417530,p15,http://mf2933.sakura.ne.jp/resume.html
奥多摩バイパスの道路補修,沿道の住民の方から、車の通過時に大きな振動がするとの苦情がありました。管轄の東京都と掛け合い補修を行いました。,35.687227,139.412804,p16,http://mf2933.sakura.ne.jp/resume.html
羽衣第一アパート２号棟にエレベータを設置,都議会公明党に働きかけ、都庁で要望書を直接手渡し、実現を求めました。この度工事が完成し、４月から稼働を始めました。,35.697308,139.422776,p17,http://mf2933.sakura.ne.jp/resume.html
羽衣第二アパート横Ｔ字路に左右両面のカーブミラー設置,カーブミラーがよく見えず、車とバイクの衝突事故が後を絶ちませんでした。左右両面のカーブミラーが設置され、視界が広がりました。,35.698049,139.423576,p18,http://mf2933.sakura.ne.jp/resume.html
羽衣町１丁目都道Ｔ字路に歩行者向けカーブミラー設置,以前からＴ字路から出てくる車と横切る自転車の衝突事故が頻繁に起き、近所の方から何らかの対策を求められていました。,35.695051,139.424488,p19,http://mf2933.sakura.ne.jp/resume.html
羽衣町1丁目キャッスルマンション前歩道の補修,マンションにお住まいの方より歩道の勾配が急で車椅子の通行や高齢者が歩くのにバランスを崩し危険との声がありました。,35.696062,139.425657,p20,http://mf2933.sakura.ne.jp/resume.html
路地の汚水枡を付け替え道路の凸凹を補修,羽衣町２丁目の住宅地内にある汚水枡が旧式で道路が凹んでおり、特に夜間は足元が見えず高齢者にとって危険であると言われていました。,35.692446,139.425496,p21,http://mf2933.sakura.ne.jp/resume.html
立川三中前通り飛び出し注意の看板設置,袋路となっている住宅地ですが、通りに出る時の車との衝突が危険との近隣住民の方から声がありました。,35.690407,139.424702,p22,http://mf2933.sakura.ne.jp/resume.html
立川三中交差点北側Ｔ字路にカーブミラーを設置,Ｔ字路奥の住民の方から、車で出るときに左側から来る車が見えず危険という声がありました。,35.689989,139.427481,p23,http://mf2933.sakura.ne.jp/resume.html
光西寺横矢川緑地沿道にガードレール新設,ガードレールが老朽化により倒壊しており、歩行者が転落する危険がありました。,35.688560,139.424219,p24,http://mf2933.sakura.ne.jp/resume.html
柴崎体育館駅北側交差点にカーブミラーと事故防止のポールを設置,坂を下りてくる自転車と立川日野線に出てくる車との衝突事故が多く、信号がない為車と自転車両方に対する注意喚起が必要な場所でした。,35.689671,139.409027,p25,http://mf2933.sakura.ne.jp/resume.html
柴崎体育館駅西側立川崖線沿道に街灯設置,南口大通りの多摩都市モノレール柴崎体育館駅西側の緑豊かな立川崖線沿いの道路に街灯を設置しました。,35.689636,139.408652,p26,http://mf2933.sakura.ne.jp/resume.html
根川緑道北旧用水路道路に雨水桝設置,この通りを通って通勤をしている近隣の方より、雨の日に辺り一帯が水溜まりとなって歩行が困難との声がありました。,35.689144,139.407177,p27,http://mf2933.sakura.ne.jp/resume.html
都営団地西側雨水桝周辺の補修,雨水桝周辺が陥没しており、ご近所にお住まいの方から夜歩くのが危険との声がありました。,35.690285,139.406994,p28,http://mf2933.sakura.ne.jp/resume.html
多摩川河川敷沿いのＬ字路を舗装,多摩川の土手と公園に隣接したＬ字路で、舗装が古く凸凹していて景観が悪い状態でした。,35.687497,139.404977,p29,http://mf2933.sakura.ne.jp/resume.html
柴崎体育館沿道に郵便ポスト設置,柴崎体育館東側に郵便ポストを設置しました。,35.688120,139.411441,p30,http://mf2933.sakura.ne.jp/resume.html
多摩川運動場入口道路の凸凹を補修,錦町浄水処理場横のテニス・フットサルコート入口に通じるＬ字路の道路補修工事が実施されました。,35.686377,139.410572,p31,http://mf2933.sakura.ne.jp/resume.html
立川公園野球場南鉄塔下の公園に健康遊具を設置,この度新機種が設置され、散歩等で訪れる多くの人が健康目的で使用しています。,35.684961,139.417460,p32,http://mf2933.sakura.ne.jp/resume.html
立川駅南口デッキ下「公衆トイレ」全面リニューアル,これまで悪臭や衛生面での苦情が多く、私は平成27年12月議会で、南口の公衆トイレがまちのイメージを大きく損なっていると訴え、南口の玄関口に相応しい、女性も安心して利用できる清潔で快適なトイレに全面改装するよう訴えました。,35.696990,139.414220,p33,http://mf2933.sakura.ne.jp/resume.html
くるりんバス錦町ルートの運行本数の改革を推進,この度錦町ルートの再編が決定し、従来と比べ運行本数が増え、平日AM9:40までは30分間隔、それ以降は35～40分間隔での運行となります。,35.696764,139.413969,p34,http://mf2933.sakura.ne.jp/resume.html
「客引き客待ち防止条例」を制定,南口のイメージアップを図るため「公道上での客待ち行為は禁止すべき。」と条例改正を訴えてきました。当条例により従来は風俗業のみであった規制対象が居酒屋等の飲食店、カラオケ店、美容室をはじめとした全ての業種の客引き･客待ち行為にまで広がります。,35.696633,139.414774,p35,http://mf2933.sakura.ne.jp/resume.html
